"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V03371","Age Group","C03788V04538","NUTS 3 Region","C02199V02655","Sex","UNIT","VALUE"
"PEA26C01","Persons","2023","2023","-","All ages","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","251785"
"PEA26C01","Persons","2023","2023","-","All ages","IE0","Ireland","-","Both sexes","Number","5271395"
"PEA26C01","Persons","2023","2023","-","All ages","IE0","Ireland","1","Male","Number","2604547"
"PEA26C01","Persons","2023","2023","-","All ages","IE0","Ireland","2","Female","Number","2666848"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","26583"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","13270"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","13313"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","83398"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","42705"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","2","Female","Number","40693"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","-","Both sexes","Number","46046"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","1","Male","Number","23693"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","2","Female","Number","22353"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","-","Both sexes","Number","18554"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","1","Male","Number","9476"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","2","Female","Number","9078"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","-","Both sexes","Number","28716"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","1","Male","Number","14557"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","2","Female","Number","14159"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","-","Both sexes","Number","25951"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","1","Male","Number","13092"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","2","Female","Number","12859"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","-","Both sexes","Number","41076"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","1","Male","Number","20868"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","2","Female","Number","20208"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","Both sexes","Number","27683"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","1","Male","Number","14015"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","13668"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","IE0","Ireland","-","Both sexes","Number","298007"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","IE0","Ireland","1","Male","Number","151676"
"PEA26C01","Persons","2023","2023","205","0 - 4 years","IE0","Ireland","2","Female","Number","146331"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","29001"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","14690"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","14311"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","92710"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","47441"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","2","Female","Number","45269"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","-","Both sexes","Number","54857"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","1","Male","Number","28232"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","2","Female","Number","26625"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","-","Both sexes","Number","22703"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","1","Male","Number","11614"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","2","Female","Number","11089"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","-","Both sexes","Number","32193"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","1","Male","Number","16521"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","2","Female","Number","15672"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","-","Both sexes","Number","29886"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","1","Male","Number","15305"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","2","Female","Number","14581"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","-","Both sexes","Number","48045"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","1","Male","Number","24750"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","2","Female","Number","23295"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","Both sexes","Number","32572"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","1","Male","Number","16658"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","15914"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","IE0","Ireland","-","Both sexes","Number","341967"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","IE0","Ireland","1","Male","Number","175211"
"PEA26C01","Persons","2023","2023","245","5 - 9 years","IE0","Ireland","2","Female","Number","166756"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","33340"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","16938"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","16402"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","98734"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","50373"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","2","Female","Number","48361"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","-","Both sexes","Number","61971"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","1","Male","Number","31684"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","2","Female","Number","30287"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","-","Both sexes","Number","25026"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","1","Male","Number","12886"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","2","Female","Number","12140"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","-","Both sexes","Number","36915"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","1","Male","Number","18960"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","2","Female","Number","17955"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","-","Both sexes","Number","34636"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","1","Male","Number","17691"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","2","Female","Number","16945"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","-","Both sexes","Number","53541"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","1","Male","Number","27276"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","2","Female","Number","26265"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","Both sexes","Number","35304"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","1","Male","Number","18108"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","17196"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","IE0","Ireland","-","Both sexes","Number","379467"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","IE0","Ireland","1","Male","Number","193916"
"PEA26C01","Persons","2023","2023","265","10 - 14 years","IE0","Ireland","2","Female","Number","185551"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","29278"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","15393"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","13885"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","87674"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","44718"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","2","Female","Number","42956"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","-","Both sexes","Number","56028"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","1","Male","Number","28807"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","2","Female","Number","27221"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","-","Both sexes","Number","22926"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","1","Male","Number","11647"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","2","Female","Number","11279"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","-","Both sexes","Number","34300"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","1","Male","Number","17410"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","2","Female","Number","16890"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","-","Both sexes","Number","32318"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","1","Male","Number","16932"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","2","Female","Number","15386"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","-","Both sexes","Number","48848"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","1","Male","Number","24917"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","2","Female","Number","23931"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","Both sexes","Number","32167"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","1","Male","Number","16810"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","15357"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","IE0","Ireland","-","Both sexes","Number","343539"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","IE0","Ireland","1","Male","Number","176634"
"PEA26C01","Persons","2023","2023","300","15 - 19 years","IE0","Ireland","2","Female","Number","166905"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","23191"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","12103"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","11088"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","94810"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","47340"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","2","Female","Number","47470"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","-","Both sexes","Number","46945"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","1","Male","Number","24464"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","2","Female","Number","22481"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","-","Both sexes","Number","18751"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","1","Male","Number","9464"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","2","Female","Number","9287"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","-","Both sexes","Number","30464"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","1","Male","Number","15180"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","2","Female","Number","15284"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","-","Both sexes","Number","26987"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","1","Male","Number","14058"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","2","Female","Number","12929"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","-","Both sexes","Number","44070"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","1","Male","Number","22401"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","2","Female","Number","21669"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","Both sexes","Number","29219"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","1","Male","Number","14903"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","14316"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","IE0","Ireland","-","Both sexes","Number","314437"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","IE0","Ireland","1","Male","Number","159913"
"PEA26C01","Persons","2023","2023","365","20 - 24 years","IE0","Ireland","2","Female","Number","154524"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","20491"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","10402"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","10089"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","113203"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","56148"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","2","Female","Number","57055"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","-","Both sexes","Number","38776"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","1","Male","Number","19650"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","2","Female","Number","19126"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","-","Both sexes","Number","16954"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","1","Male","Number","8605"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","2","Female","Number","8349"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","-","Both sexes","Number","28119"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","1","Male","Number","13957"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","2","Female","Number","14162"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","-","Both sexes","Number","23540"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","1","Male","Number","11709"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","2","Female","Number","11831"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","-","Both sexes","Number","42107"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","1","Male","Number","21118"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","2","Female","Number","20989"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","Both sexes","Number","26369"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","1","Male","Number","13370"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","2","Female","Number","12999"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","IE0","Ireland","-","Both sexes","Number","309559"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","IE0","Ireland","1","Male","Number","154959"
"PEA26C01","Persons","2023","2023","410","25 - 29 years","IE0","Ireland","2","Female","Number","154600"
"PEA26C01","Persons","2023","2023","440","30 - 34 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","Both sexes","Number","23041"
"PEA26C01","Persons","2023","2023","440","30 - 34 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","1","Male","Number","11074"
"PEA26C01","Persons","2023","2023","440","30 - 34 years","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","2","Female","Number","11967"
"PEA26C01","Persons","2023","2023","440","30 - 34 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","Both sexes","Number","121853"
"PEA26C01","Persons","2023","2023","440","30 - 34 years","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","1","Male","Number","60057"
